feature,mean_abs_shap,mean_signed_shap,line,station,feature_family
start_time,0.19696799831907538,-0.003909270293832812,timing,timing_level,timing
line_0_start_time,0.1144820564477132,0.010972401340375764,L0,line_level,line_timing
line_3_end_time,0.09472544395775677,-0.0039770028635833414,L3,line_level,line_timing
line_3_start_time,0.08286576912916405,-0.02710344274411696,L3,line_level,line_timing
end_time,0.07627099903139474,0.012949280816973564,timing,timing_level,timing
L3_S32_F3850__is_missing,0.06555429002091039,-0.015548728148805419,L3,L3_S32,raw_measurement_missingness
mean_waiting_time,0.04783857484770251,-0.020766203691638813,timing,timing_level,timing
line_0_end_time,0.04612209113363654,-0.013111891733037454,L0,line_level,line_timing
max_waiting_time,0.04382822662250216,0.017783485523900387,timing,timing_level,timing
cycle_time,0.04321061972291579,-0.0020511106495366264,timing,timing_level,timing
line_3_observed_date_values,0.03965662040567594,0.003055301056975864,L3,line_level,line_timing
line_3_processing_duration,0.038698942642382814,0.0014423283769415692,L3,line_level,line_timing
waiting_time,0.03634315874696266,-0.011749977832158795,timing,timing_level,timing
line_3_station_count,0.02790840020407451,0.013907114409311317,L3,line_level,line_timing
line_0_processing_duration,0.026870847712835367,0.0005053241780507659,L0,line_level,line_timing
path_complexity_score,0.022786843076717248,0.019431471393663934,path,path_level,path_or_family
line_2_start_time,0.022172595173950434,0.0007322776949727811,L2,line_level,line_timing
L1_S24_F1844,0.020868080926770765,-0.0010405407511225287,L1,L1_S24,raw_measurement
delay_ratio,0.02075982186752844,0.0011912892602786607,timing,timing_level,timing
line_1_end_time,0.020270004985413287,-0.0017999417571425817,L1,line_level,line_timing
L2_S27_F3144,0.020076850288554784,-0.0014935365482130975,L2,L2_S27,raw_measurement
station_count,0.018685627912254095,-0.015317043852953292,path,path_level,path_or_family
line_1_start_time,0.017815220509408047,0.016745107233376504,L1,line_level,line_timing
L1_S24_F1846,0.017420639836852013,0.0007767782224382717,L1,L1_S24,raw_measurement
line_2_end_time,0.015876400066859635,0.0035404365209953763,L2,line_level,line_timing
L1_S24_F1723,0.013796733938956984,0.0033632710435483283,L1,L1_S24,raw_measurement
observed_date_values,0.012950280865641164,0.0034814706645354375,other,other,categorical_or_other
kmeans_family,0.01266612018564661,-0.0015913493731764521,path,path_level,path_or_family
L1_S24_F1778,0.012306244881160762,0.001526147784627693,L1,L1_S24,raw_measurement
L1_S24_F1667,0.011677657117930047,-0.0014478824859488356,L1,L1_S24,raw_measurement
wait_event_count,0.010694178707590802,-0.0006772581244834348,other,other,categorical_or_other
L1_S24_F1498,0.010411870206603573,0.003003825957324523,L1,L1_S24,raw_measurement
processing_duration,0.01017103012302903,0.004206176521586622,timing,timing_level,timing
L1_S24_F1713,0.00902368727362332,0.0006166215853108845,L1,L1_S24,raw_measurement
line_3_date_completeness_pct,0.008684347766701178,-0.00015167340767917442,L3,line_level,line_timing
L1_S24_F1842,0.008443756525367052,-0.0006890552550361957,L1,L1_S24,raw_measurement
L1_S24_F1758,0.008325255691303131,-0.0008062967897776808,L1,L1_S24,raw_measurement
L1_S24_F958,0.008039187728172418,0.00013416659647048364,L1,L1_S24,raw_measurement
path_density,0.008021009239153517,0.0002908920559319544,path,path_level,path_or_family
L1_S24_F1672,0.007512107266130241,-0.0014616695593647035,L1,L1_S24,raw_measurement
L1_S24_F1609,0.007409266191282727,-0.0006402325355749748,L1,L1_S24,raw_measurement
L1_S24_F1122,0.007310561039150914,-0.0011435113472235963,L1,L1_S24,raw_measurement
L3_S49_F4211,0.006772143353444298,0.0005815130190191873,L3,L3_S49,raw_measurement
L1_S24_F1490,0.006767802803274419,-0.00040254156626550705,L1,L1_S24,raw_measurement
L1_S24_F1002,0.006573938063480517,8.312852639902838e-05,L1,L1_S24,raw_measurement
L1_S24_F1176,0.006549645806693899,-0.0006038547641302644,L1,L1_S24,raw_measurement
line_1_processing_duration,0.0064843141203981105,-0.003219720923241591,L1,line_level,line_timing
hierarchical_family,0.006206404192755768,0.000793319921393203,path,path_level,path_or_family
L1_S25_F2990,0.00574886256351007,-0.00040002654608357695,L1,L1_S25,raw_measurement
L1_S24_F1632,0.005653502237856295,0.0005105233895656798,L1,L1_S24,raw_measurement
L1_S24_F1174,0.005491342177549627,0.000534685902958335,L1,L1_S24,raw_measurement
L1_S24_F1718,0.005157007864544989,-0.0016967813899938374,L1,L1_S24,raw_measurement
L1_S24_F963,0.0051299653380983,0.0006432556663702138,L1,L1_S24,raw_measurement
L1_S24_F1695,0.0050149831478891365,-0.001070451053172412,L1,L1_S24,raw_measurement
L1_S24_F1031,0.004989302825462793,-0.0001150990874604044,L1,L1_S24,raw_measurement
station_count_phase5,0.004763841898107043,-0.004587009931139961,path,path_level,path_or_family
L1_S24_F1212,0.004662599283695862,5.804705263986406e-05,L1,L1_S24,raw_measurement
L1_S24_F1581,0.004331234534112421,0.0002585644529622526,L1,L1_S24,raw_measurement
L1_S25_F2237,0.00413588399551171,-0.00037267978537843855,L1,L1_S25,raw_measurement
L1_S24_F1814,0.0041005355109153705,0.00036911650131591576,L1,L1_S24,raw_measurement
L1_S25_F2960,0.004032862026160294,-0.0005920447793415468,L1,L1_S25,raw_measurement
L1_S25_F2915,0.003962120295277183,-0.0009306119239296649,L1,L1_S25,raw_measurement
L1_S24_F679,0.003912046661995458,-0.0008381279165932914,L1,L1_S24,raw_measurement
L2_S28_F3248,0.0038312852437423685,0.00012626484756188868,L2,L2_S28,raw_measurement
date_completeness_pct,0.0038026097190978826,0.0005511180207598274,other,other,categorical_or_other
final_product_family,0.0036812177166375406,0.00038032535924394914,path,path_level,path_or_family
L1_S24_F691,0.003584396693783575,-0.00018837657185673807,L1,L1_S24,raw_measurement
L1_S24_F1102,0.0035083976996943974,-0.0007109148470681088,L1,L1_S24,raw_measurement
line_0_observed_date_values,0.003432632029803366,-0.0010540963140181453,L0,line_level,line_timing
L2_S27_F3144__is_missing,0.0032398176127726957,0.0017881603858939327,L2,L2_S27,raw_measurement_missingness
L1_S24_F1604,0.003115585163477202,-3.2222681813979845e-05,L1,L1_S24,raw_measurement
L1_S24_F1166,0.0030572809559775995,-0.0004217370465663318,L1,L1_S24,raw_measurement
L1_S24_F1700,0.003031319302096957,-0.0007074665416113081,L1,L1_S24,raw_measurement
L1_S24_F1474,0.003001631230331149,0.00014346251938724552,L1,L1_S24,raw_measurement
L1_S24_F1126,0.002725373306533044,-0.0001134296138025418,L1,L1_S24,raw_measurement
L1_S24_F814,0.0026771928480819216,-0.0003942881885013785,L1,L1_S24,raw_measurement
L1_S24_F1494,0.0025397049924527387,-0.00029411397835754025,L1,L1_S24,raw_measurement
L3_S32_F3850,0.002433225053189863,-0.00037259232040813637,L3,L3_S32,raw_measurement
L1_S24_F1004,0.002313781099064947,-0.00018804059810384788,L1,L1_S24,raw_measurement
