feature,model_importance,line,station,feature_family
mean_waiting_time,875.0,timing,timing_level,timing
max_waiting_time,772.0,timing,timing_level,timing
cycle_time,732.0,timing,timing_level,timing
line_3_processing_duration,723.0,L3,line_level,line_timing
start_time,512.0,timing,timing_level,timing
line_0_processing_duration,495.0,L0,line_level,line_timing
end_time,474.0,timing,timing_level,timing
delay_ratio,406.0,timing,timing_level,timing
line_0_start_time,385.0,L0,line_level,line_timing
L2_S27_F3144,330.0,L2,L2_S27,raw_measurement
waiting_time,314.0,timing,timing_level,timing
line_2_start_time,299.0,L2,line_level,line_timing
line_3_start_time,264.0,L3,line_level,line_timing
kmeans_family,241.0,path,path_level,path_or_family
L1_S24_F1844,237.0,L1,L1_S24,raw_measurement
L1_S24_F1846,228.0,L1,L1_S24,raw_measurement
processing_duration,220.0,timing,timing_level,timing
wait_event_count,206.0,other,other,categorical_or_other
observed_date_values,195.0,other,other,categorical_or_other
L3_S49_F4211,187.0,L3,L3_S49,raw_measurement
line_0_end_time,184.0,L0,line_level,line_timing
L1_S24_F1778,180.0,L1,L1_S24,raw_measurement
line_1_start_time,174.0,L1,line_level,line_timing
L1_S24_F1758,157.0,L1,L1_S24,raw_measurement
L1_S24_F1814,152.0,L1,L1_S24,raw_measurement
L1_S24_F1498,150.0,L1,L1_S24,raw_measurement
L1_S24_F1667,140.0,L1,L1_S24,raw_measurement
hierarchical_family,139.0,path,path_level,path_or_family
path_complexity_score,135.0,path,path_level,path_or_family
line_3_observed_date_values,134.0,L3,line_level,line_timing
line_1_end_time,131.0,L1,line_level,line_timing
line_3_station_count,130.0,L3,line_level,line_timing
L1_S25_F2237,128.0,L1,L1_S25,raw_measurement
L1_S24_F1672,121.0,L1,L1_S24,raw_measurement
L1_S24_F1122,120.0,L1,L1_S24,raw_measurement
L1_S25_F2915,117.0,L1,L1_S25,raw_measurement
L1_S24_F1842,115.0,L1,L1_S24,raw_measurement
L3_S32_F3850__is_missing,111.0,L3,L3_S32,raw_measurement_missingness
L1_S24_F1723,109.0,L1,L1_S24,raw_measurement
L1_S24_F1718,109.0,L1,L1_S24,raw_measurement
L1_S24_F1126,106.0,L1,L1_S24,raw_measurement
L1_S24_F1632,99.0,L1,L1_S24,raw_measurement
L1_S24_F1581,92.0,L1,L1_S24,raw_measurement
L1_S24_F1700,90.0,L1,L1_S24,raw_measurement
line_2_end_time,89.0,L2,line_level,line_timing
line_3_end_time,88.0,L3,line_level,line_timing
L1_S24_F691,87.0,L1,L1_S24,raw_measurement
L1_S24_F1713,84.0,L1,L1_S24,raw_measurement
L1_S24_F867,83.0,L1,L1_S24,raw_measurement
L1_S24_F958,77.0,L1,L1_S24,raw_measurement
line_1_processing_duration,77.0,L1,line_level,line_timing
L1_S24_F1176,76.0,L1,L1_S24,raw_measurement
path_density,74.0,path,path_level,path_or_family
L1_S24_F1166,72.0,L1,L1_S24,raw_measurement
L1_S24_F1002,70.0,L1,L1_S24,raw_measurement
L2_S28_F3248,66.0,L2,L2_S28,raw_measurement
L1_S24_F1494,65.0,L1,L1_S24,raw_measurement
L1_S24_F988,64.0,L1,L1_S24,raw_measurement
L1_S24_F1609,63.0,L1,L1_S24,raw_measurement
L1_S25_F2990,61.0,L1,L1_S25,raw_measurement
L1_S24_F963,61.0,L1,L1_S24,raw_measurement
L1_S24_F1695,59.0,L1,L1_S24,raw_measurement
L1_S24_F1004,59.0,L1,L1_S24,raw_measurement
L1_S24_F1326,56.0,L1,L1_S24,raw_measurement
L1_S24_F1174,56.0,L1,L1_S24,raw_measurement
station_count,54.0,path,path_level,path_or_family
L1_S24_F1031,53.0,L1,L1_S24,raw_measurement
L1_S24_F1604,53.0,L1,L1_S24,raw_measurement
L1_S25_F2886,50.0,L1,L1_S25,raw_measurement
L3_S32_F3850,49.0,L3,L3_S32,raw_measurement
L1_S24_F679,49.0,L1,L1_S24,raw_measurement
L1_S24_F1212,47.0,L1,L1_S24,raw_measurement
L1_S25_F2960,47.0,L1,L1_S25,raw_measurement
L1_S24_F816,45.0,L1,L1_S24,raw_measurement
L1_S25_F2466,44.0,L1,L1_S25,raw_measurement
final_product_family,44.0,path,path_level,path_or_family
L1_S24_F1490,44.0,L1,L1_S24,raw_measurement
L1_S24_F814,38.0,L1,L1_S24,raw_measurement
date_completeness_pct,37.0,other,other,categorical_or_other
L1_S24_F829,35.0,L1,L1_S24,raw_measurement
L1_S24_F1627,35.0,L1,L1_S24,raw_measurement
L1_S24_F902,31.0,L1,L1_S24,raw_measurement
L1_S24_F998,31.0,L1,L1_S24,raw_measurement
L1_S24_F1474,31.0,L1,L1_S24,raw_measurement
